Address,USB0::0x2A8D::0x3702::MY61001265::0::INSTR,
Model,EL33133A,
Serial Number:,MY61001265,
Firmware Version,1.2.9-1.0.6-17-114,
Start Time,2025-03-27 14:04:17.700,
Stop Time,2025-03-27 14:24:37.779,
Sample Period (s),0.5,
,,
Time (s) (s),V1 (DCVolt),P1 (Power)
2025-03-27 14:04:17.716,3.533075,7.510955E-05
2025-03-27 14:04:18.462,3.533073,3.701022E-05
2025-03-27 14:04:18.977,3.533343,0.0005261258
2025-03-27 14:04:19.497,3.533055,0.0001581012
2025-03-27 14:04:20.013,3.533014,0.0005355189
2025-03-27 14:04:20.530,3.533036,0.0001288176
2025-03-27 14:04:21.048,3.533361,0.0005338577
2025-03-27 14:04:21.567,3.533139,0.0007185478
2025-03-27 14:04:22.084,3.533023,0.0004576041
2025-03-27 14:04:22.601,3.532918,0.0005818938
2025-03-27 14:04:23.120,3.532446,7.396438E-05
2025-03-27 14:04:23.637,3.532779,0.0002712712
2025-03-27 14:04:24.154,3.532627,-0.0002763192
2025-03-27 14:04:24.672,2.648048,5.29292
2025-03-27 14:04:25.194,2.645005,5.287905
2025-03-27 14:04:25.710,2.642741,5.284064
2025-03-27 14:04:26.228,2.642741,5.284064
2025-03-27 14:04:26.228,2.640795,5.279552
2025-03-27 14:04:26.745,2.639143,5.277415
2025-03-27 14:04:27.263,2.637572,5.273753
2025-03-27 14:04:27.781,2.636568,5.2716
2025-03-27 14:04:28.298,2.635316,5.268852
2025-03-27 14:04:28.816,2.633254,5.267063
2025-03-27 14:04:29.334,2.63323,5.264256
2025-03-27 14:04:29.852,2.631277,5.260614
2025-03-27 14:04:30.369,2.630134,5.258551
2025-03-27 14:04:30.887,2.628859,5.256543
2025-03-27 14:04:31.405,2.627687,5.254309
2025-03-27 14:04:31.922,2.626761,5.251675
2025-03-27 14:04:32.440,2.625503,5.250118
2025-03-27 14:04:32.958,2.62434,5.247617
2025-03-27 14:04:33.478,2.623402,5.246465
2025-03-27 14:04:33.993,2.62254,5.243796
2025-03-27 14:04:34.511,2.621592,5.24273
2025-03-27 14:04:35.029,2.620624,5.240297
2025-03-27 14:04:35.547,2.619617,5.239346
2025-03-27 14:04:36.064,2.619235,5.238161
2025-03-27 14:04:36.582,2.618167,5.235303
2025-03-27 14:04:37.101,2.617224,5.233373
2025-03-27 14:04:37.617,2.616486,5.232615
2025-03-27 14:04:38.135,2.615885,5.230956
2025-03-27 14:04:38.653,2.615111,5.228679
2025-03-27 14:04:39.171,2.614568,5.227612
2025-03-27 14:04:39.688,2.613188,5.225498
2025-03-27 14:04:40.206,2.612458,5.223771
2025-03-27 14:04:40.724,2.612458,5.223771
2025-03-27 14:04:40.724,2.612036,5.22166
2025-03-27 14:04:41.242,2.611138,5.220703
2025-03-27 14:04:41.759,2.610261,5.218922
2025-03-27 14:04:42.277,2.609274,5.217954
2025-03-27 14:04:42.795,2.608593,5.217124
2025-03-27 14:04:43.312,2.60836,5.215607
2025-03-27 14:04:43.830,2.607471,5.214126
2025-03-27 14:04:44.349,2.60659,5.211881
2025-03-27 14:04:44.866,2.605589,5.210495
2025-03-27 14:04:45.384,2.605603,5.210001
2025-03-27 14:04:45.901,2.60482,5.208783
2025-03-27 14:04:46.419,2.603946,5.207902
2025-03-27 14:04:46.936,2.603677,5.205966
2025-03-27 14:04:47.455,2.602866,5.205296
2025-03-27 14:04:47.972,2.60253,5.203947
2025-03-27 14:04:48.490,2.601558,5.202966
2025-03-27 14:04:49.007,2.600588,5.20158
2025-03-27 14:04:49.525,2.600412,5.199815
2025-03-27 14:04:50.043,2.599825,5.199588
2025-03-27 14:04:50.561,2.599488,5.199005
2025-03-27 14:04:51.079,2.599426,5.197737
2025-03-27 14:04:51.597,2.598669,5.19648
2025-03-27 14:04:52.114,2.597466,5.194361
2025-03-27 14:04:52.631,2.596842,5.193676
2025-03-27 14:04:53.150,2.596621,5.192988
2025-03-27 14:04:53.667,2.596185,5.191397
2025-03-27 14:04:54.185,2.596006,5.19105
2025-03-27 14:04:54.703,2.595656,5.189836
2025-03-27 14:04:55.220,2.595656,5.189836
2025-03-27 14:04:55.220,2.594541,5.188468
2025-03-27 14:04:55.738,2.593854,5.187541
2025-03-27 14:04:56.255,2.593432,5.185927
2025-03-27 14:04:56.773,2.592938,5.185663
2025-03-27 14:04:57.291,2.592765,5.184543
2025-03-27 14:04:57.809,2.59226,5.183615
2025-03-27 14:04:58.327,2.591353,5.181891
2025-03-27 14:04:58.844,2.591141,5.181018
2025-03-27 14:04:59.362,2.591164,5.181253
2025-03-27 14:04:59.880,2.590405,5.180047
2025-03-27 14:05:00.398,2.589572,5.178451
2025-03-27 14:05:00.915,2.58929,5.177778
2025-03-27 14:05:01.433,2.589215,5.178862
2025-03-27 14:05:01.951,2.588744,5.177548
2025-03-27 14:05:02.468,2.588127,5.175101
2025-03-27 14:05:02.986,2.587709,5.174383
2025-03-27 14:05:03.504,2.587078,5.173862
2025-03-27 14:05:04.021,2.586674,5.173063
2025-03-27 14:05:04.539,2.586365,5.172406
2025-03-27 14:05:05.057,2.585883,5.171176
2025-03-27 14:05:05.575,2.585481,5.170678
2025-03-27 14:05:06.092,2.585454,5.16953
2025-03-27 14:05:06.610,2.584586,5.168346
2025-03-27 14:05:07.127,2.584624,5.167615
2025-03-27 14:05:07.645,2.583588,5.16662
2025-03-27 14:05:08.164,2.583372,5.165514
2025-03-27 14:05:08.681,2.583219,5.166041
2025-03-27 14:05:09.199,2.582675,5.164215
2025-03-27 14:05:09.717,2.582675,5.164215
2025-03-27 14:05:09.717,2.582416,5.164002
