Address,USB0::0x2A8D::0x3702::MY61001265::0::INSTR,
Model,EL33133A,
Serial Number:,MY61001265,
Firmware Version,1.2.9-1.0.6-17-114,
Start Time,2025-03-27 14:45:48.691,
Stop Time,2025-03-27 15:06:00.358,
Sample Period (s),0.5,
,,
Time (s) (s),V1 (DCVolt),P1 (Power)
2025-03-27 14:45:48.707,3.540416,0.0004512552
2025-03-27 14:45:49.260,3.540454,0.000604075
2025-03-27 14:45:49.772,3.540176,0.0009334857
2025-03-27 14:45:50.290,3.539708,0.0007619617
2025-03-27 14:45:50.807,3.540359,0.0005344409
2025-03-27 14:45:51.328,3.540229,0.0005354625
2025-03-27 14:45:51.843,3.540325,0.0005448137
2025-03-27 14:45:52.361,2.438743,6.092242
2025-03-27 14:45:52.883,2.434039,6.082931
2025-03-27 14:45:53.398,2.430734,6.074752
2025-03-27 14:45:53.916,2.428073,6.067423
2025-03-27 14:45:54.433,2.425439,6.061455
2025-03-27 14:45:54.951,2.423213,6.055886
2025-03-27 14:45:55.469,2.421357,6.052234
2025-03-27 14:45:55.987,2.41963,6.046995
2025-03-27 14:45:56.505,2.417439,6.042868
2025-03-27 14:45:57.022,2.415774,6.037579
2025-03-27 14:45:57.540,2.413823,6.032721
2025-03-27 14:45:58.059,2.412247,6.028249
2025-03-27 14:45:58.576,2.410292,6.025131
2025-03-27 14:45:59.094,2.408634,6.019682
2025-03-27 14:45:59.610,2.407156,6.015456
2025-03-27 14:46:00.129,2.405691,6.011721
2025-03-27 14:46:00.646,2.404181,6.008833
2025-03-27 14:46:01.164,2.402665,6.00434
2025-03-27 14:46:01.682,2.400754,5.999698
2025-03-27 14:46:02.199,2.399309,5.997101
2025-03-27 14:46:02.717,2.399309,5.997101
2025-03-27 14:46:02.717,2.398499,5.99403
2025-03-27 14:46:03.235,2.396874,5.989817
2025-03-27 14:46:03.752,2.395517,5.986945
2025-03-27 14:46:04.271,2.393876,5.983447
2025-03-27 14:46:04.788,2.393298,5.979986
2025-03-27 14:46:05.306,2.391535,5.97748
2025-03-27 14:46:05.824,2.39031,5.974693
2025-03-27 14:46:06.342,2.389736,5.971678
2025-03-27 14:46:06.859,2.388529,5.970337
2025-03-27 14:46:07.377,2.387403,5.965575
2025-03-27 14:46:07.894,2.386161,5.963869
2025-03-27 14:46:08.412,2.384596,5.961023
2025-03-27 14:46:08.930,2.383762,5.957905
2025-03-27 14:46:09.447,2.382542,5.954863
2025-03-27 14:46:09.966,2.381425,5.952333
2025-03-27 14:46:10.483,2.380379,5.94993
2025-03-27 14:46:11.001,2.379436,5.946946
2025-03-27 14:46:11.519,2.377709,5.944736
2025-03-27 14:46:12.036,2.377128,5.942556
2025-03-27 14:46:12.554,2.376369,5.939491
2025-03-27 14:46:13.071,2.375256,5.938214
2025-03-27 14:46:13.591,2.374617,5.936532
2025-03-27 14:46:14.107,2.373561,5.933015
2025-03-27 14:46:14.625,2.372779,5.93108
2025-03-27 14:46:15.143,2.372464,5.929757
2025-03-27 14:46:15.661,2.371114,5.927898
2025-03-27 14:46:16.178,2.370526,5.92578
2025-03-27 14:46:16.696,2.36994,5.923076
2025-03-27 14:46:17.214,2.36994,5.923076
2025-03-27 14:46:17.214,2.368694,5.921299
2025-03-27 14:46:17.731,2.367821,5.917689
2025-03-27 14:46:18.249,2.367007,5.916189
2025-03-27 14:46:18.766,2.365814,5.913389
2025-03-27 14:46:19.284,2.364767,5.911505
2025-03-27 14:46:19.802,2.364665,5.910136
2025-03-27 14:46:20.319,2.364028,5.908087
2025-03-27 14:46:20.837,2.363181,5.907357
2025-03-27 14:46:21.355,2.362213,5.905438
2025-03-27 14:46:21.873,2.36167,5.902942
2025-03-27 14:46:22.391,2.360775,5.900794
2025-03-27 14:46:22.908,2.360071,5.899819
2025-03-27 14:46:23.426,2.359358,5.897398
2025-03-27 14:46:23.944,2.35874,5.895478
2025-03-27 14:46:24.462,2.358271,5.8952
2025-03-27 14:46:24.980,2.357552,5.892507
2025-03-27 14:46:25.497,2.357061,5.891768
2025-03-27 14:46:26.014,2.356065,5.890702
2025-03-27 14:46:26.532,2.355596,5.888333
2025-03-27 14:46:27.050,2.355395,5.887593
2025-03-27 14:46:27.568,2.354117,5.884801
2025-03-27 14:46:28.085,2.353557,5.883037
2025-03-27 14:46:28.603,2.352684,5.881259
2025-03-27 14:46:29.121,2.352109,5.880488
2025-03-27 14:46:29.639,2.352093,5.8788
2025-03-27 14:46:30.157,2.351184,5.877149
2025-03-27 14:46:30.674,2.350925,5.874888
2025-03-27 14:46:31.192,2.349925,5.875756
2025-03-27 14:46:31.710,2.349925,5.875756
2025-03-27 14:46:31.710,2.349833,5.873182
2025-03-27 14:46:32.228,2.349129,5.871165
2025-03-27 14:46:32.745,2.347958,5.870039
2025-03-27 14:46:33.263,2.347718,5.869144
2025-03-27 14:46:33.781,2.347378,5.867399
2025-03-27 14:46:34.299,2.346931,5.865729
2025-03-27 14:46:34.817,2.346169,5.863995
2025-03-27 14:46:35.334,2.345412,5.862693
2025-03-27 14:46:35.852,2.345298,5.861787
2025-03-27 14:46:36.370,2.344831,5.860542
2025-03-27 14:46:36.887,2.344171,5.860252
2025-03-27 14:46:37.405,2.343664,5.858511
2025-03-27 14:46:37.923,2.343077,5.856936
2025-03-27 14:46:38.441,2.342495,5.856232
2025-03-27 14:46:38.959,2.342109,5.855403
2025-03-27 14:46:39.476,2.341776,5.853754
2025-03-27 14:46:39.994,2.341251,5.852131
2025-03-27 14:46:40.512,2.340456,5.851033
2025-03-27 14:46:41.029,2.340002,5.849262
2025-03-27 14:46:41.547,2.339475,5.848607
